"","items","support","count"
"1","{25,280}",0.600826446280992,1454
"2","{280,300}",0.607851239669421,1471
"3","{110,300}",0.607851239669421,1471
"4","{249,25}",0.61198347107438,1481
"5","{249,300}",0.616115702479339,1491
"6","{295,494}",0.604132231404959,1462
"7","{25,494}",0.608677685950413,1473
"8","{300,494}",0.615702479338843,1490
"9","{221,351}",0.611157024793388,1479
"10","{25,351}",0.614876033057851,1488
"11","{300,351}",0.62603305785124,1515
"12","{295,473}",0.616528925619835,1492
"13","{25,473}",0.623140495867769,1508
"14","{300,473}",0.630165289256198,1525
"15","{130,205}",0.6,1452
"16","{205,25}",0.624793388429752,1512
"17","{205,300}",0.631404958677686,1528
"18","{295,390}",0.606611570247934,1468
"19","{282,390}",0.63801652892562,1544
"20","{390,57}",0.634297520661157,1535
"21","{221,390}",0.631404958677686,1528
"22","{25,390}",0.647107438016529,1566
"23","{300,390}",0.661570247933884,1601
"24","{295,341}",0.609090909090909,1474
"25","{282,341}",0.601652892561984,1456
"26","{221,341}",0.623140495867769,1508
"27","{25,341}",0.635537190082645,1538
"28","{300,341}",0.639669421487603,1548
"29","{260,282}",0.620661157024793,1502
"30","{260,57}",0.609917355371901,1476
"31","{221,260}",0.614876033057851,1488
"32","{25,260}",0.621900826446281,1505
"33","{260,300}",0.624380165289256,1511
"34","{179,295}",0.649586776859504,1572
"35","{179,282}",0.611570247933884,1480
"36","{179,57}",0.612809917355372,1483
"37","{179,221}",0.637190082644628,1542
"38","{179,25}",0.653719008264463,1582
"39","{179,300}",0.668181818181818,1617
"40","{130,30}",0.627272727272727,1518
"41","{295,30}",0.622727272727273,1507
"42","{282,30}",0.625619834710744,1514
"43","{30,57}",0.616115702479339,1491
"44","{221,30}",0.62603305785124,1515
"45","{25,30}",0.656611570247934,1589
"46","{30,300}",0.669834710743802,1621
"47","{130,169}",0.601652892561984,1456
"48","{169,295}",0.63595041322314,1539
"49","{169,282}",0.629338842975207,1523
"50","{169,57}",0.647933884297521,1568
"51","{169,221}",0.648760330578512,1570
"52","{169,25}",0.656198347107438,1588
"53","{169,300}",0.670661157024793,1623
"54","{222,337}",0.603305785123967,1460
"55","{295,337}",0.652066115702479,1578
"56","{282,337}",0.655785123966942,1587
"57","{337,57}",0.647933884297521,1568
"58","{221,337}",0.65702479338843,1590
"59","{25,337}",0.669421487603306,1620
"60","{300,337}",0.67603305785124,1636
"61","{130,69}",0.632231404958678,1530
"62","{295,69}",0.661570247933884,1601
"63","{282,69}",0.63099173553719,1527
"64","{57,69}",0.64297520661157,1556
"65","{221,69}",0.652066115702479,1578
"66","{25,69}",0.690909090909091,1672
"67","{300,69}",0.702066115702479,1699
"68","{117,386}",0.649586776859504,1572
"69","{130,386}",0.61404958677686,1486
"70","{295,386}",0.660743801652893,1599
"71","{282,386}",0.654545454545455,1584
"72","{386,57}",0.647107438016529,1566
"73","{221,386}",0.666528925619835,1613
"74","{25,386}",0.673140495867769,1629
"75","{300,386}",0.68595041322314,1660
"76","{117,133}",0.639669421487603,1548
"77","{130,133}",0.650413223140496,1574
"78","{133,295}",0.650826446280992,1575
"79","{133,282}",0.638842975206612,1546
"80","{133,57}",0.638842975206612,1546
"81","{133,221}",0.658264462809917,1593
"82","{133,25}",0.675206611570248,1634
"83","{133,300}",0.69297520661157,1677
"84","{129,130}",0.614462809917355,1487
"85","{129,295}",0.658677685950413,1594
